,Nazwa,Pikinier,Halabardnik,Łucznik,Kusznik,Gryf,Gryf królewski,Zbrojny,Krzyżowiec,Mnich,Kapłan,Kawalerzysta,Czempion,Anioł,Archanioł
0,Pikinier,,,,,0.623052959502,0.506329113924,,,1.41835051546,,0.603773584906,0.615858352579,0.624512099922,0.58651026393
1,Halabardnik,1.21125,,,1.40054347826,0.784447476126,0.636413945766,,,1.44989690722,1.3312,0.757077024358,0.770777479893,0.778605280975,0.711633663366
2,Łucznik,,,,,,,,,1.25917525773,,,,,
3,Kusznik,,0.715674834695,,,,,0.773759461733,,,,1.28437821172,1.28595238095,1.27499501893,1.62498860529
4,Gryf,1.605,1.2747826087,,,,,1.30584269663,1.31224489796,,1.36253333333,,,,
5,Gryf królewski,1.975,1.5747826087,,,1.21225071225,,1.60898876404,1.53418367347,1.35298969072,1.22333333333,,1.21866666667,1.26248256625,
6,Zbrojny,,,,1.29565217391,0.765789020823,0.62029551157,,,1.5,1.20133333333,0.739571214891,0.754877014419,0.768566493955,0.695747342089
7,Krzyżowiec,,,,,0.740740740741,0.650442477876,,,,1.23426666667,0.790216368768,,,0.728985866601
8,Mnich,0.70504433784,0.625,0.796126066973,,,0.739103931728,0.714285714286,,,0.770575150937,,,,
9,Kapłan,,0.751201923077,,,0.733926998728,,,,1.29690721649,,,,,
10,Kawalerzysta,1.65625,1.32086956522,,0.778586860847,,,1.35146067416,1.26547619048,,1.35,,,,
11,Czempion,1.62375,1.29739130435,,0.778585199466,,,1.32471910112,1.23418367347,,,,,,
12,Anioł,1.60125,1.28434782609,,0.78210462344,,0.793567972678,1.30112359551,1.21088435374,,,,,,
13,Archanioł,1.705,1.40608695652,,0.61502235553,,,1.43685393258,1.37176870748,,,,,,
14,Centaur,1.2425,,0.768049155146,,0.78431372549,0.656167979003,,,,,0.780640124902,0.793650793651,,0.732064421669
15,Centaur bojowy,1.5,1.21130434783,,0.735215769845,,0.794473229706,1.23101123596,,,,,,,
16,Krasnolud,,0.760749724366,,,0.573566084788,0.465901417961,0.764966740576,0.788121073672,1.40597938144,,0.559383867045,0.569541890219,0.576923076923,0.533230293663
17,Krasnoludzki wojownik,1.3625,,,1.29402173913,,0.695970695971,,,1.5,1.3108,,,,0.78335832084
18,Leśny elf,,0.788144156282,,,,,,,,,,,,1.20154968095
19,Wysoki elf,,0.714285714286,,,,,,0.760395129796,,0.784360189573,,1.36247619048,1.34528790596,1.7
20,Pegaz,1.6875,1.33913043478,,0.79950609662,,,1.38764044944,1.30595238095,,,,,,
21,Srebrny pegaz,1.6875,1.33913043478,,0.576131687243,,,1.3593258427,1.2906462585,,,,,,
22,Drzewiec,,0.756733021077,,1.2847826087,0.573297848747,0.466522288396,0.757620164127,0.767745767746,1.45525773196,,0.549007114792,0.561407318927,0.572535991141,0.522961764111
23,Ent,1.30875,,1.3,1.43913043478,,0.664680076153,,,1.69216494845,1.31706666667,0.782422293676,0.798052077122,,0.744552619379
24,Jednorożec,1.63875,1.30956521739,,0.786242925555,,,1.33887640449,1.24370748299,,1.4,,,,
25,Jednorożec bitewny,1.675,1.33739130435,,0.780469050365,,,1.36561797753,1.28129251701,,,,,,
26,Zielony smok,1.85125,1.48086956522,,,,,1.50584269663,1.39846938776,1.29216494845,,,,,
27,Złoty smok,2.005,1.64260869565,,0.715882739189,1.25299145299,,1.66247191011,1.58044217687,,,1.21243576567,1.22723809524,1.23434947201,
28,Gremlin,,,,1.5652173913,0.671755725191,0.546583850932,,,1.84577319588,1.35306666667,0.650887573964,0.66265060241,0.674846625767,0.634920634921
29,Większy gremlin,,,,1.20543478261,,,,,1.24989690722,,,,,1.26406107566
30,Kamienny gargulec,1.3625,,,,,0.699152542373,,,,1.228,,,,0.790229885057
31,Obsydianowy gargulec,1.6,1.2747826087,,0.711504424779,,,1.30426966292,1.24591836735,,,,,,
32,Kamienny golem,,,,1.27173913043,0.650533437419,0.522575250836,,,1.52474226804,,0.627037873088,0.640040962622,0.65121125293,0.602119460501
33,Żelazny golem,1.52625,1.23304347826,,1.38423913043,,0.776625824694,1.24359550562,1.30289115646,1.47505154639,1.39386666667,,,,
34,Mag,,,,1.42717391304,,,,1.20442176871,1.4,,,,,
35,Arcymag,,,1.26428571429,1.20543478261,,,,,1.42474226804,,,,,
36,Dżinn,1.52,1.2052173913,,0.780505032668,,,1.25775280899,,,,,,,
37,Wielki dżinn,1.62375,1.28434782609,,,,,1.3404494382,1.22482993197,,,,,,
38,Naga,1.6625,1.35565217391,1.2873015873,1.81195652174,,,1.36247191011,1.42159863946,1.84989690722,1.65306666667,,,,
39,Królewska naga,1.8875,1.5052173913,,,,,1.53101123596,1.41054421769,1.32268041237,1.65,,1.23938095238,1.25538951982,
40,Gigant,1.4875,,,0.771081338919,,0.78048575687,,,,1.3124,,,,
41,Tytan,,,,,0.794054122729,0.642574410117,,,1.28474226804,,0.751179351582,0.752068187516,,
42,Chochlik,,,,1.5875,0.776397515528,0.629722921914,,,1.6,1.41706666667,0.750750750751,0.769230769231,0.780031201248,0.747384155456
43,Chowaniec,1.3425,,,0.692840646651,,0.716845878136,,,,,,,,
44,Gog,,,,,,,,,1.24350515464,,,,,
45,Magog,1.375,,1.33412698413,1.45,1.31225071225,1.2875,1.21213483146,1.35,1.54659793814,1.24373333333,1.50616649538,1.51242857143,1.5124726041,1.62967183227
46,Piekielny ogar,1.605,1.2747826087,,0.74437030859,,,1.34674157303,1.275,,1.35,,,,
47,Cerber,1.7175,1.36434782609,,0.790163273534,,,1.41842696629,1.35,,,,,,
48,Demon,,,,1.3402173913,0.761204242217,0.619087367835,,,1.6,1.26173333333,0.74865410498,0.763948497854,0.7728377909,0.693146417445
49,Rogaty demon,1.2075,,,,0.751291281891,0.623862750195,,,,,0.754005655042,0.767754318618,0.777202072539,0.697471665214
50,Czart,,,,,0.74250218383,0.622659938141,,,,1.22333333333,0.754810064134,0.770936208808,0.784293623129,0.696467589221
51,Czarci lord,1.89,1.5,,,,,1.55775280899,1.43112244898,1.3418556701,1.7124,,1.23276190476,1.25465232118,
52,Ifryt,1.53625,1.22260869565,,0.745935322494,,0.769230769231,1.24202247191,,,,,,,
53,Sułtański ifryt,1.65,1.31565217391,,0.57194144409,,,1.3404494382,1.24523809524,,,,,,
54,Diabeł,2.17125,1.74608695652,1.30714285714,,1.33418803419,,1.77820224719,1.66870748299,1.50618556701,1.33746666667,1.28905447071,1.31085714286,1.39376369795,1.25614175023
55,Arcydiabeł,2.06875,1.69739130435,,0.740744596677,1.29686609687,,1.73123595506,1.65459183673,1.22618556701,,1.26639260021,1.28595238095,1.3,1.21873290793
56,Szkielet,,,,1.37173913043,0.616016427105,0.5,,,1.64659793814,1.2136,0.594648166501,0.608519269777,0.612244897959,0.561272217025
57,Kościej,1.2625,,,1.5847826087,,0.666144200627,,,1.7,1.48133333333,,,,0.755555555556
58,Ożywieniec,,0.728624535316,,,0.548098434004,0.444444444444,0.730797912006,0.749808722265,1.39690721649,,0.52972972973,0.539647577093,0.545961002786,0.506198347107
59,Zombie,,,,,0.61805890874,0.5,,,1.24865979381,,0.597014925373,0.607498813479,0.613320555822,0.570409982175
60,Zjawa,1.4875,1.21130434783,,1.61956521739,,0.772769089236,1.24359550562,1.3074829932,1.8,1.5688,,,,
61,Upiór,1.8625,1.4747826087,,,,,1.51213483146,1.42789115646,1.31835051546,1.55,,,,
62,Wampir,1.82375,1.44,1.24682539683,1.4,,,1.48764044944,1.475,1.50907216495,1.7688,,,,
63,Wampirzy lord,5.6,3.24956521739,0.788202134085,0.658481204272,,0.784333366723,3.83730337079,3.35,,1.2876,1.37502569373,,,
64,Lisz,,,1.25317460317,,,,,,1.37505154639,,1.39378211716,1.40304761905,1.39376369795,1.53591613491
65,Arcylisz,1.23625,,1.32142857143,1.25,,1.22165178571,,,1.4624742268,,,1.50619047619,1.49844590556,1.61873290793
66,Czarny rycerz,1.4775,,,0.689666567529,,0.75744927957,1.20584269663,,,,,,,
67,Upiorny rycerz,1.5,1.21130434783,,0.713130950243,,0.754728937613,1.22471910112,,,,,,,
68,Kościany smok,1.6525,1.31391304348,,,,,1.33730337079,1.23741496599,,,,,,
69,Upiorny smok,1.86875,1.49913043478,,0.650415512465,,,1.51213483146,1.41224489796,,,,,,
70,Troglodyta,,,1.3,1.65597826087,0.690058479532,0.558712121212,,,1.94659793814,1.42493333333,0.666666666667,0.68129330254,0.690058479532,0.637837837838
71,Piekielny troglodyta,1.31125,,,1.71195652174,,0.699417152373,,,1.9,1.55933333333,,,,0.78431372549
72,Harpia,1.375,,,1.2,,0.714285714286,,,,1.2876,,,,
73,Harpia wiedźma,2.11125,1.6747826087,1.20555555556,,1.28746438746,,1.70898876404,1.62482993197,1.45608247423,1.29386666667,1.2437307297,1.28752380952,1.33122135884,1.22498860529
74,Złe oko,,,,1.28097826087,,,,,1.4,,,,,
75,Obserwator,,,,,,,,,1.3624742268,,,,,
76,Meduza,,,1.29126984127,1.52717391304,,,,1.37721088435,1.71835051546,1.29453333333,,,,
77,Meduza królewska,,,,1.2,,,,,1.33567010309,,,,,
78,Minotaur,,,,1.3,0.740773598297,0.620218376291,,,,1.22333333333,0.76200036503,0.780519723313,0.790195892874,0.692716110835
79,Wielki minotaur,1.42375,,,0.7178866707,,0.744199010522,,,,,,,,
80,Mantikora,1.64,1.31130434783,,0.786277001271,,,1.33730337079,1.24523809524,,1.35,,,,
81,Chimera,1.63625,1.30347826087,,0.782411738638,,,1.32471910112,1.23418367347,,,,,,
82,Czerwony smok,1.72375,1.38086956522,,,,,1.40269662921,1.30391156463,1.20907216495,,,,,
83,Czarny smok,2.01375,1.64086956522,,0.713496796996,1.24700854701,,1.65303370787,1.57653061224,,,,1.2170952381,1.22653915123,
84,Goblin,1.2625,,,1.61467391304,,0.665188470067,,,1.6,1.45306666667,0.786369593709,,,0.749063670412
85,Hobgoblin,1.575,1.27565217391,,0.790273556231,,,1.28134831461,,,1.42493333333,,,,
86,Wilczy jeździec,1.2075,,0.744558991982,,0.776583034648,0.650650650651,,,,,0.77380952381,0.788356579745,0.796080832823,0.715859030837
87,Wilczy rycerz,1.7025,1.35391304348,,,,,1.41528089888,1.30136054422,1.29773195876,,,,,
88,Ork,,,,,,,,,1.25134020619,,,,,
