,Nazwa,Pikinier,Halabardnik,Łucznik,Kusznik,Gryf,Gryf królewski,Zbrojny,Krzyżowiec,Mnich,Kapłan,Kawalerzysta,Czempion,Anioł,Archanioł
0,Pikinier,1.0,1.19542619543,1.575,2.6225,2.73364485981,2.83544303797,4.62577962578,6.28877005348,8.59875,10.1075,14.6867924528,16.1662817552,39.1803278689,64.3401759531
1,Halabardnik,0.842608695652,1.0,1.05704697987,2.24086956522,2.39427012278,2.47924737133,3.91652173913,5.48,6.1147826087,8.68173913043,12.8110599078,14.0750670241,33.981042654,54.3069306931
2,Łucznik,0.634920634921,0.946031746032,1.0,1.56031746032,2.99444444444,3.09178743961,3.81904761905,5.35,4.84682539683,5.0916496945,15.6849206349,17.0301587302,40.6412698413,77.4857142857
3,Kusznik,0.38240917782,0.447296771684,0.640569395018,1.0,1.90760869565,2.70815217391,1.87132043734,2.77882797732,2.7625,3.69276218612,13.5836956522,14.6766304348,34.7782608696,77.5048913043
4,Gryf,0.365811965812,0.417663817664,0.334217506631,0.524216524217,1.0,1.05560791706,1.65555555556,2.19829059829,1.53247863248,2.9113960114,5.49407114625,6.05242165242,14.6116809117,23.1923890063
5,Gryf królewski,0.352678571429,0.404241071429,0.3234375,0.369774919614,0.949776785714,1.0,1.59821428571,2.01361607143,1.46473214286,2.04799107143,5.11071428571,5.7125,14.14375,22.2825892857
6,Zbrojny,0.215730337079,0.255328596803,0.261465034239,0.535730337079,0.604026845638,0.624477279063,1.0,1.36651685393,1.63483146067,2.02471910112,3.23416985209,3.56234096692,8.66839378238,13.7210756723
7,Krzyżowiec,0.159353741497,0.183004455761,0.186749666518,0.344217687075,0.442176870748,0.495575221239,0.732872200264,1.0,0.84574829932,1.57431972789,2.61523988711,2.89375775114,7.04421052632,10.8802380362
8,Mnich,0.116295973252,0.148195876289,0.206828627708,0.36227603859,0.652537646403,0.682718683328,0.655375552283,1.18143459916,1.0,1.19161105815,3.58049678013,3.8824181919,9.18557833089,17.5766072502
9,Kapłan,0.098643649815,0.115184294872,0.1964,0.2708,0.343477835405,0.488922841864,0.493895671476,0.635194987577,0.838666666667,1.0,2.16222222222,2.82813333333,6.76493333333,12.204
10,Kawalerzysta,0.0680883864337,0.0780575539568,0.0639561443582,0.0736176682404,0.182014388489,0.195411323388,0.309044193217,0.382374100719,0.279085303186,0.520298047276,1.0,1.12543679342,2.74835560123,4.26972852
11,Czempion,0.0618571428571,0.0710476190476,0.0587439973892,0.0682188936675,0.165091011712,0.174380133121,0.280714285714,0.345571428571,0.25719047619,0.353857041755,0.887854731271,1.0,2.50757142857,3.9046093611
12,Anioł,0.0255230125523,0.0294281729428,0.0246430666927,0.0286724946629,0.0684383956948,0.0708345191791,0.115361625822,0.141860928472,0.108866308029,0.14794358418,0.364392180361,0.398792229249,1.0,1.62503471901
13,Archanioł,0.0155423883318,0.0184252506837,0.0128875205842,0.0128947257768,0.043242935278,0.0448780878729,0.0728577939836,0.0919097538742,0.0568824065634,0.0820021648572,0.233853691887,0.255913855971,0.615371467639,1.0
14,Centaur,0.994,1.15,0.967741935484,1.84,2.75294117647,2.93963254593,4.472,5.88,4.42114858706,8.871,15.1912568306,16.6666666667,40.1841473179,64.2459736457
15,Centaur bojowy,0.869565217391,1.00942028986,0.838323353293,0.980287693127,2.37322515213,2.57915947035,3.96956521739,4.8731884058,3.83333333333,5.16173434274,12.4743589744,14.5429362881,35.0244242847,55.4740834387
16,Krasnolud,0.549828178694,0.633958103638,0.964492753623,1.51594202899,1.45885286783,1.51249155976,2.4667405765,3.35808109652,4.94130434783,5.77463768116,7.88812322659,8.66694180768,20.9824414716,33.9103554869
17,Krasnoludzki wojownik,0.521531100478,0.608612440191,0.589611605054,1.13923444976,1.43734643735,1.49184149184,2.39473684211,3.31196172249,3.48086124402,4.7038277512,7.75917065391,8.5296506905,20.6288532676,32.8935532234
