,Nazwa,Pikinier,Halabardnik,Łucznik,Kusznik,Gryf,Gryf królewski,Zbrojny,Krzyżowiec,Mnich,Kapłan,Kawalerzysta,Czempion,Anioł,Archanioł
0,Pikinier,1.0,1.19047619048,1.575,2.61875,2.72304111715,2.83544303797,4.63059313215,6.27534685165,8.59875,10.1225,14.7424242424,16.1662817552,39.0887850467,64.4819985305
1,Halabardnik,0.842608695652,1.0,1.05616093881,2.24347826087,2.39427012278,2.47377139702,3.94086956522,5.49652173913,6.06173913043,8.68173913043,12.8110599078,14.0750670241,33.981042654,54.2063001853
2,Łucznik,0.634920634921,0.946031746032,1.0,1.56031746032,2.99444444444,3.08752584425,3.8246031746,5.3373015873,4.84682539683,5.0916496945,15.6603174603,17.0301587302,40.5793650794,77.7031746032
3,Kusznik,0.38240917782,0.447296771684,0.641547861507,1.0,1.90760869565,2.70815217391,1.86896262075,2.97269969666,2.76304347826,3.69640216856,13.5836956522,14.6586956522,34.8635869565,77.5048913043
4,Gryf,0.367236467236,0.418518518519,0.333951762523,0.499321573948,1.0,1.05287896592,1.65754985755,2.21937321937,1.53219373219,2.9113960114,5.49407114625,6.05726495726,14.6116809117,23.1923890063
5,Gryf królewski,0.353125,0.403348214286,0.3234375,0.370295834172,0.949776785714,1.0,1.59821428571,2.01785714286,1.46808035714,2.05066964286,5.12075892857,5.73459821429,14.1261160714,22.2825892857
6,Zbrojny,0.216629213483,0.253751103266,0.261465034239,0.535056179775,0.603300103128,0.625087205246,1.0,1.36651685393,1.49865168539,2.02269662921,3.2357831726,3.56657608696,8.66839378238,13.7060752772
7,Krzyżowiec,0.159013605442,0.182481751825,0.187360594796,0.344217687075,0.450577663671,0.495575221239,0.731787534945,1.0,0.845238095238,1.57431972789,2.61208053691,2.8901734104,7.0511379601,10.8802380362
8,Mnich,0.116295973252,0.158075601375,0.206320615687,0.361635220126,0.652537646403,0.681161623841,0.655375552283,1.18143459916,1.0,1.19236883943,3.5824742268,3.88816885762,9.18894177957,17.5801282051
9,Kapłan,0.098643649815,0.115253557827,0.1964,0.2708,0.343410625183,0.487964274044,0.494444444444,0.635194987577,0.838666666667,1.0,2.16222222222,2.82706666667,6.75973333333,12.1993333333
10,Kawalerzysta,0.0680883864337,0.0780575539568,0.0639042450677,0.0736176682404,0.181449126413,0.195411323388,0.308684480987,0.382476875642,0.279085303186,0.457708119219,1.0,1.12631038027,2.74028776978,4.26972852
11,Czempion,0.0617619047619,0.0710476190476,0.0587193587473,0.0681355304573,0.165605095541,0.174156429793,0.280714285714,0.345571428571,0.257285714286,0.353857041755,0.887854731271,1.0,2.50661904762,3.90756489603
12,Anioł,0.0255827854154,0.0294082486551,0.0246430666927,0.0286832218741,0.0683344689964,0.0707026071586,0.115361625822,0.141821079896,0.108826459454,0.147934829776,0.364392180361,0.398792229249,1.0,1.62503471901
13,Archanioł,0.0155423883318,0.0184138559708,0.0128875205842,0.0129024114888,0.043242935278,0.0448780878729,0.0728919781222,0.0919097538742,0.0568824065634,0.0820021648572,0.233933454877,0.255913855971,0.615371467639,1.0
14,Centaur,0.992,1.15,0.967741935484,2.069,2.75294117647,2.95319709954,4.472,5.88,4.41712204007,8.88,15.1086956522,16.6799046863,40.2163461538,64.3873807777
15,Centaur bojowy,0.872463768116,1.00942028986,0.836653386454,0.978723404255,2.36522911051,2.58511252164,3.95942028986,4.8731884058,3.83043478261,5.16173434274,12.4743589744,14.5833333333,34.9756097561,55.4740834387
16,Krasnolud,0.549073438572,0.636061946903,0.964492753623,1.5115942029,1.45885286783,1.51351351351,2.46947835738,3.35808109652,4.94130434783,5.77826086957,7.88812322659,8.66694180768,20.9824414716,33.9103554869
17,Krasnoludzki wojownik,0.52009569378,0.608133971292,0.590440487348,1.13779904306,1.44147843943,1.49184149184,2.40813397129,3.31435406699,3.71291866029,4.7038277512,7.75917065391,8.55048859935,20.6288532676,32.9182295574
18,Leśny elf,0.330715171558,0.386424731183,0.52874527906,0.786324786325,1.30434782609,1.83456183456,1.65859112933,2.51282051282,2.35042735043,3.01689460981,9.30341880342,10.0675213675,23.9282051282,45.0705128205
19,Wysoki elf,0.212539851222,0.24811218986,0.369284876905,0.499457111835,0.861561119293,1.59879154079,1.08669108669,1.35079255686,1.60725075529,2.05987366108,5.87915407855,8.64410876133,20.3752265861,45.0317220544
20,Pegaz,0.260617760618,0.297297297297,0.244594594595,0.28416988417,0.698648648649,0.766729419819,1.18667953668,1.48243243243,1.12065637066,1.54749034749,3.7916988417,4.39613899614,10.5976833977,16.5835222978
21,Srebrny pegaz,0.253383458647,0.29022556391,0.19943019943,0.199501246883,0.682330827068,0.70908515353,1.13439849624,1.43007518797,0.863142907991,1.27464309993,3.64761012184,3.99642857143,9.96466165414,16.1978589886
22,Drzewiec,0.14479638009,0.168325526932,0.2833655706,0.458220502901,0.389740173218,0.404259158997,0.652110199297,0.872921615202,1.36731141199,1.5912959381,2.06823254331,2.27938782156,5.55813953488,8.87720008092
23,Ent,0.130635118306,0.15404732254,0.20398505604,0.3300124533,0.357324646238,0.370431618985,0.598381070984,0.799750933998,1.02303860523,1.2301369863,1.89613173536,2.08976017514,5.08974749011,8.13722763097
24,Jednorożec,0.072480620155,0.0832779623477,0.0689089417555,0.0803002531204,0.193762075628,0.209718191181,0.329512735327,0.40592469546,0.300941306755,0.498338870432,1.07751937984,1.21860465116,2.96140642303,4.58372506006
