,Nazwa,Pikinier,Halabardnik,Łucznik,Kusznik,Gryf,Gryf królewski,Zbrojny,Krzyżowiec,Mnich,Kapłan,Kawalerzysta,Czempion,Anioł,Archanioł
0,Pikinier,1.0,1.4375,1.575,2.3,4.3875,5.6,5.5625,7.35,6.0625,9.375,24.325,26.25,62.7375,109.7
1,Halabardnik,0.695652173913,1.0,1.09565217391,1.6,3.05217391304,3.89565217391,3.86956521739,5.11304347826,4.21739130435,6.52173913043,16.9217391304,18.2608695652,43.6434782609,76.3130434783
2,Łucznik,0.634920634921,0.912698412698,1.0,1.46031746032,2.78571428571,3.55555555556,3.53174603175,4.66666666667,3.84920634921,5.95238095238,15.4444444444,16.6666666667,39.8333333333,69.6507936508
3,Kusznik,0.434782608696,0.625,0.684782608696,1.0,1.90760869565,2.4347826087,2.41847826087,3.19565217391,2.63586956522,4.07608695652,10.5760869565,11.4130434783,27.277173913,47.6956521739
4,Gryf,0.22792022792,0.327635327635,0.358974358974,0.524216524217,1.0,1.27635327635,1.26780626781,1.67521367521,1.38176638177,2.13675213675,5.54415954416,5.98290598291,14.2991452991,25.0028490028
5,Gryf królewski,0.178571428571,0.256696428571,0.28125,0.410714285714,0.783482142857,1.0,0.993303571429,1.3125,1.08258928571,1.67410714286,4.34375,4.6875,11.203125,19.5892857143
6,Zbrojny,0.179775280899,0.258426966292,0.283146067416,0.413483146067,0.788764044944,1.00674157303,1.0,1.32134831461,1.08988764045,1.68539325843,4.37303370787,4.7191011236,11.2786516854,19.7213483146
7,Krzyżowiec,0.136054421769,0.195578231293,0.214285714286,0.312925170068,0.59693877551,0.761904761905,0.756802721088,1.0,0.824829931973,1.27551020408,3.30952380952,3.57142857143,8.53571428571,14.925170068
8,Mnich,0.164948453608,0.237113402062,0.259793814433,0.379381443299,0.723711340206,0.923711340206,0.917525773196,1.21237113402,1.0,1.54639175258,4.01237113402,4.32989690722,10.3484536082,18.0948453608
9,Kapłan,0.106666666667,0.153333333333,0.168,0.245333333333,0.468,0.597333333333,0.593333333333,0.784,0.646666666667,1.0,2.59466666667,2.8,6.692,11.7013333333
10,Kawalerzysta,0.0411099691675,0.0590955806783,0.0647482014388,0.0945529290853,0.180369989723,0.230215827338,0.228674203494,0.302158273381,0.249229188078,0.385405960946,1.0,1.07913669065,2.57913669065,4.50976361768
11,Czempion,0.0380952380952,0.0547619047619,0.06,0.087619047619,0.167142857143,0.213333333333,0.211904761905,0.28,0.230952380952,0.357142857143,0.926666666667,1.0,2.39,4.17904761905
12,Anioł,0.0159394301654,0.0229129308627,0.0251046025105,0.0366606893804,0.0699342498506,0.0892608089261,0.0886630802949,0.117154811715,0.0966327953776,0.1494321578,0.387726638773,0.418410041841,1.0,1.74855548914
13,Archanioł,0.00911577028259,0.0131039197812,0.0143573381951,0.02096627165,0.0399954421149,0.0510483135825,0.0507064721969,0.067000911577,0.0552643573382,0.0854603463993,0.221741112124,0.239288969918,0.571900638104,1.0
14,Centaur,0.8,1.15,1.26,1.84,3.51,4.48,4.45,5.88,4.85,7.5,19.46,21.0,50.19,87.76
15,Centaur bojowy,0.579710144928,0.833333333333,0.913043478261,1.33333333333,2.54347826087,3.24637681159,3.22463768116,4.26086956522,3.51449275362,5.4347826087,14.1014492754,15.2173913043,36.3695652174,63.5942028986
16,Krasnolud,0.579710144928,0.833333333333,0.913043478261,1.33333333333,2.54347826087,3.24637681159,3.22463768116,4.26086956522,3.51449275362,5.4347826087,14.1014492754,15.2173913043,36.3695652174,63.5942028986
17,Krasnoludzki wojownik,0.382775119617,0.55023923445,0.602870813397,0.88038277512,1.67942583732,2.14354066986,2.12918660287,2.81339712919,2.32057416268,3.58851674641,9.31100478469,10.04784689,24.014354067,41.990430622
18,Leśny elf,0.34188034188,0.491452991453,0.538461538462,0.786324786325,1.5,1.91452991453,1.90170940171,2.51282051282,2.07264957265,3.20512820513,8.31623931624,8.97435897436,21.4487179487,37.5042735043
19,Wysoki elf,0.2416918429,0.347432024169,0.380664652568,0.555891238671,1.06042296073,1.35347432024,1.34441087613,1.77643504532,1.46525679758,2.26586102719,5.87915407855,6.34441087613,15.163141994,26.5135951662
20,Pegaz,0.15444015444,0.222007722008,0.243243243243,0.355212355212,0.677606177606,0.864864864865,0.859073359073,1.13513513514,0.936293436293,1.44787644788,3.75675675676,4.05405405405,9.68918918919,16.9420849421
21,Srebrny pegaz,0.15037593985,0.216165413534,0.236842105263,0.345864661654,0.65977443609,0.842105263158,0.836466165414,1.10526315789,0.911654135338,1.40977443609,3.65789473684,3.94736842105,9.43421052632,16.4962406015
22,Drzewiec,0.154738878143,0.222437137331,0.243713733075,0.355899419729,0.678916827853,0.866537717602,0.860735009671,1.13733075435,0.938104448743,1.45067698259,3.76402321083,4.06189555126,9.7079303675,16.9748549323
23,Ent,0.0996264009963,0.143212951432,0.156911581569,0.229140722291,0.437110834371,0.557907845579,0.554171855542,0.732254047323,0.60398505604,0.93399750934,2.42341220423,2.61519302615,6.2503113325,10.9290161893
24,Jednorożec,0.0442967884828,0.0636766334441,0.0697674418605,0.101882613511,0.194352159468,0.248062015504,0.246400885936,0.325581395349,0.268549280177,0.415282392027,1.07751937984,1.16279069767,2.77906976744,4.85935769657
